time, x, y, z
0.00000, 0.00000, 1.00000, -0.87500 
0.00031, 0.44531, -0.26562, -0.88281 
0.00063, 0.45312, -0.21875, -0.89844 
0.00094, 0.41406, -0.22656, -0.88281 
0.00125, 0.48438, -0.22656, -0.89844 
0.00156, 0.44531, -0.27344, -0.84375 
0.00187, 0.44531, -0.27344, -0.84375 
0.00219, 0.43750, -0.25000, -0.84375 
0.00250, 0.44531, -0.27344, -0.85938 
0.00281, 0.49219, -0.31250, -0.90625 
0.00313, 0.44531, -0.26562, -0.74219 
0.00344, 0.46875, -0.26562, -0.85156 
0.00375, 0.43750, -0.17188, -0.89062 
0.00406, 0.42188, -0.28125, -0.87500 
0.00438, 0.45312, -0.21875, -0.84375 
0.00469, 0.45312, -0.26562, -0.89062 
0.00500, 0.44531, -0.25000, -0.92969 
0.00531, 0.43750, -0.26562, -0.90625 
0.00562, 0.43750, -0.25781, -0.84375 
0.00594, 0.43750, -0.25000, -0.85156 
0.00625, 0.43750, -0.25000, -0.88281 
0.00656, 0.43750, -0.26562, -0.90625 
0.00688, 0.44531, -0.31250, -0.91406 
0.00719, 0.44531, -0.31250, -0.91406 
0.00750, 0.41406, -0.19531, -0.87500 
0.00781, 0.41406, -0.19531, -0.87500 
0.00813, 0.42188, -0.25000, -0.95312 
0.00844, 0.47656, -0.28906, -0.91406 
0.00875, 0.51562, -0.27344, -0.87500 
0.00906, 0.43750, -0.28125, -0.85156 
0.00937, 0.47656, -0.26562, -0.85156 
0.00969, 0.46094, -0.28125, -0.76562 
0.01000, 0.39062, -0.17188, -0.88281 
0.01031, 0.40625, -0.25781, -0.93750 
0.01063, 0.43750, -0.25000, -0.89062 
0.01094, 0.43750, -0.25000, -0.86719 
0.01125, 0.46875, -0.25781, -0.89844 
0.01156, 0.45312, -0.27344, -0.86719 
0.01188, 0.45312, -0.25781, -0.90625 
0.01219, 0.43750, -0.29688, -0.90625 
0.01250, 0.52344, -0.28906, -0.88281 
0.01281, 0.50781, -0.27344, -0.88281 
0.01312, 0.46094, -0.22656, -0.85938 
0.01344, 0.46875, -0.25781, -0.88281 
0.01375, 0.44531, -0.25000, -0.87500 
0.01406, 0.42188, -0.26562, -0.84375 
0.01438, 0.46875, -0.26562, -0.89844 
0.01469, 0.50000, -0.25781, -0.86719 
0.01500, 0.43750, -0.25781, -0.92969 
0.01531, 0.43750, -0.25000, -0.82031 
0.01562, 0.42188, -0.26562, -0.85938 
0.01594, 0.49219, -0.26562, -0.95312 
0.01625, 0.45312, -0.27344, -0.86719 
0.01656, 0.46094, -0.29688, -0.90625 
0.01688, 0.43750, -0.27344, -0.75781 
0.01719, 0.43750, -0.22656, -0.89844 
0.01750, 0.45312, -0.25000, -0.85156 
0.01781, 0.44531, -0.26562, -0.92188 
0.01812, 0.44531, -0.26562, -0.92188 
0.01844, 0.40625, -0.25000, -0.87500 
0.01875, 0.46875, -0.28125, -0.89844 
0.01906, 0.44531, -0.33594, -0.89844 
0.01937, 0.42969, -0.25000, -0.89062 
0.01969, 0.42188, -0.16406, -0.89844 
0.02000, 0.45312, -0.25000, -0.92188 
0.02031, 0.46094, -0.28125, -0.78125 
0.02063, 0.47656, -0.25781, -0.90625 
0.02094, 0.44531, -0.22656, -0.87500 
0.02125, 0.44531, -0.21094, -0.91406 
0.02156, 0.45312, -0.25000, -0.92969 
0.02188, 0.47656, -0.28125, -0.93750 
0.02219, 0.48438, -0.22656, -0.89062 
0.02250, 0.43750, -0.27344, -0.85156 
0.02281, 0.43750, -0.21875, -0.89844 
0.02312, 0.44531, -0.27344, -0.82812 
0.02344, 0.42969, -0.15625, -0.90625 
0.02375, 0.43750, -0.25000, -0.83594 
0.02406, 0.43750, -0.22656, -0.92969 
0.02438, 0.42969, -0.26562, -0.89844 
0.02469, 0.51562, -0.25000, -0.88281 
0.02500, 0.42188, -0.24219, -0.90625 
0.02531, 0.45312, -0.26562, -0.89844 
0.02563, 0.43750, -0.25000, -0.90625 
0.02594, 0.47656, -0.28125, -0.83594 
0.02625, 0.42969, -0.21875, -0.91406 
0.02656, 0.42969, -0.21875, -0.91406 
0.02687, 0.48438, -0.28906, -0.91406 
0.02719, 0.44531, -0.31250, -0.86719 
0.02750, 0.44531, -0.31250, -0.86719 
0.02781, 0.52344, -0.27344, -0.89062 
0.02813, 0.47656, -0.24219, -0.90625 
0.02844, 0.42969, -0.29688, -0.92969 
0.02875, 0.50000, -0.25000, -0.88281 
0.02906, 0.43750, -0.29688, -0.89844 
0.02938, 0.46875, -0.26562, -0.88281 
0.02969, 0.50781, -0.26562, -0.92188 
0.03000, 0.45312, -0.27344, -0.89844 
0.03031, 0.50000, -0.25000, -0.98438 
0.03062, 0.43750, -0.25000, -0.84375 
0.03094, 0.51562, -0.27344, -0.89844 
0.03125, 0.49219, -0.28125, -0.89844 
0.03156, 0.42188, -0.26562, -0.91406 
0.03188, 0.50781, -0.25781, -0.88281 
0.03219, 0.47656, -0.26562, -0.81250 
0.03250, 0.39062, -0.20312, -0.89062 
0.03281, 0.44531, -0.25781, -0.86719 
0.03313, 0.45312, -0.25000, -0.87500 
0.03344, 0.48438, -0.27344, -0.97656 
0.03375, 0.47656, -0.26562, -0.88281 
0.03406, 0.46094, -0.26562, -0.82031 
0.03438, 0.46094, -0.25000, -0.88281 
0.03469, 0.47656, -0.25781, -0.78125 
0.03500, 0.43750, -0.28125, -0.86719 
0.03531, 0.47656, -0.25000, -0.92969 
0.03563, 0.49219, -0.25000, -0.92969 
0.03594, 0.43750, -0.25000, -0.92969 
0.03625, 0.50000, -0.26562, -0.87500 
0.03656, 0.42969, -0.27344, -0.87500 
0.03687, 0.42969, -0.25000, -0.90625 
0.03719, 0.44531, -0.25000, -0.87500 
0.03750, 0.41406, -0.25000, -0.86719 
0.03781, 0.41406, -0.25000, -0.86719 
0.03812, 0.43750, -0.25000, -0.80469 
0.03844, 0.46875, -0.26562, -0.81250 
0.03875, 0.43750, -0.13281, -0.87500 
0.03906, 0.44531, -0.25000, -0.89844 
0.03938, 0.46875, -0.28125, -0.90625 
0.03969, 0.42969, -0.29688, -0.88281 
0.04000, 0.44531, -0.29688, -0.92188 
0.04031, 0.50000, -0.29688, -0.87500 
0.04063, 0.44531, -0.26562, -0.78906 
0.04094, 0.38281, -0.17188, -0.87500 
0.04125, 0.45312, -0.27344, -0.85938 
0.04156, 0.48438, -0.25000, -0.90625 
0.04188, 0.44531, -0.29688, -0.89844 
0.04219, 0.45312, -0.22656, -0.86719 
0.04250, 0.43750, -0.25000, -0.82812 
0.04281, 0.45312, -0.21094, -0.89062 
0.04313, 0.44531, -0.28906, -0.89844 
0.04344, 0.46875, -0.28125, -0.83594 
0.04375, 0.50000, -0.28125, -0.91406 
0.04406, 0.46875, -0.28906, -0.80469 
0.04437, 0.42188, -0.25000, -0.89844 
0.04469, 0.50000, -0.25000, -0.96094 
0.04500, 0.45312, -0.25781, -0.84375 
0.04531, 0.42969, -0.25781, -0.88281 
