time, x, y, z
0.00000, -1.61133, -0.34180, 2.88086 
0.00100, -0.53711, -0.68359, 1.26953 
0.00200, -0.68359, -0.63477, 1.26953 
0.00300, -1.41602, -0.78125, 0.97656 
0.00400, -1.61133, -0.68359, 1.41602 
0.00500, -0.83008, -0.78125, 2.92969 
0.00600, -1.61133, 0.19531, 2.53906 
0.00700, -2.58789, -0.04883, 1.75781 
0.00800, -2.19727, -0.04883, 1.90430 
0.00900, -1.75781, -0.58594, 1.56250 
0.01000, -1.85547, -0.04883, 2.68555 
0.01100, -1.75781, 0.43945, 1.17188 
0.01200, -1.61133, 0.19531, 1.80664 
0.01300, -2.68555, 0.63477, 1.75781 
0.01400, -2.24609, 0.68359, 2.00195 
0.01500, -2.29492, 0.34180, 2.14844 
0.01600, -1.90430, -0.04883, 1.12305 
0.01700, -1.41602, -0.14648, 2.78320 
0.01800, -1.95312, -0.04883, 2.34375 
0.01900, -1.41602, -0.48828, 2.09961 
0.02000, -1.61133, 0.48828, 3.71094 
0.02100, -2.88086, -0.04883, 2.09961 
0.02200, -2.58789, 0.00000, 2.49023 
0.02300, -2.92969, -0.68359, 1.80664 
0.02400, -2.88086, -0.24414, 0.83008 
0.02500, -3.17383, -0.09766, 2.05078 
0.02600, -1.95312, 0.48828, 1.75781 
0.02700, -1.07422, -0.04883, 2.09961 
0.02800, -0.53711, -0.34180, 3.36914 
0.02900, 0.09766, -0.24414, 1.90430 
0.03000, -0.09766, -0.83008, 3.17383 
0.03100, 0.73242, -0.39062, 2.73438 
0.03200, -1.17188, -0.63477, 3.12500 
0.03300, -0.97656, -0.24414, 1.90430 
0.03400, 0.43945, -0.92773, 2.88086 
0.03500, -0.29297, -0.87891, 2.73438 
0.03600, -0.34180, -0.04883, 1.17188 
0.03700, 0.19531, -0.04883, 1.80664 
0.03800, 0.24414, -1.22070, 3.51562 
0.03900, 0.29297, 0.00000, 1.17188 
0.04000, -0.53711, -0.19531, 0.92773 
0.04100, -0.09766, -0.04883, 1.26953 
0.04200, -0.34180, -0.53711, 1.85547 
0.04300, -0.53711, -0.48828, 2.58789 
0.04400, -0.63477, 0.43945, 2.34375 
0.04500, -1.41602, 0.48828, 1.56250 
0.04600, -0.68359, -0.34180, 0.97656 
0.04700, -0.53711, -1.12305, 2.39258 
0.04800, -1.41602, -0.83008, 1.17188 
0.04900, -1.22070, 0.00000, 2.88086 
0.05000, -1.66016, -0.19531, 2.39258 
0.05100, -1.85547, 0.39062, 2.34375 
0.05200, -2.63672, 0.29297, 2.14844 
0.05300, -2.68555, -1.12305, 2.39258 
0.05400, -2.09961, -0.48828, 1.95312 
0.05500, -1.80664, -0.19531, 1.70898 
0.05600, -1.26953, -0.53711, 1.56250 
0.05700, -1.46484, -0.48828, 1.26953 
0.05800, -2.00195, -0.83008, 1.12305 
0.05900, -0.78125, -0.04883, 2.39258 
0.06000, -1.07422, -0.83008, 1.41602 
0.06100, -0.97656, -0.63477, 1.56250 
0.06200, -1.31836, 0.14648, 2.83203 
0.06300, -1.90430, -0.19531, 2.73438 
0.06400, -2.05078, 0.48828, 2.05078 
0.06500, -1.80664, -0.04883, 4.10156 
0.06600, -1.61133, -1.61133, 1.80664 
0.06700, -1.26953, -1.61133, 2.53906 
0.06800, -1.75781, -0.09766, 0.78125 
0.06900, -1.90430, -0.43945, 2.53906 
0.07000, -1.02539, -0.39062, 3.46680 
0.07100, -1.31836, -0.14648, 2.05078 
0.07200, -2.05078, 0.09766, 0.92773 
0.07300, -0.78125, -0.04883, 1.26953 
0.07400, -0.63477, 0.00000, 1.56250 
0.07500, -1.41602, -0.34180, 3.46680 
0.07600, -0.58594, -0.34180, 2.78320 
0.07700, -1.41602, -0.29297, 1.07422 
0.07800, 0.09766, 0.09766, 1.56250 
0.07900, -1.41602, -0.53711, 1.46484 
0.08000, -0.92773, 0.34180, 1.56250 
0.08100, -0.53711, 0.39062, 1.17188 
0.08200, -1.17188, 0.43945, 2.63672 
0.08300, -1.46484, 0.24414, 0.63477 
