time, x, y, z
0.00000, -0.59229, 0.29883, -0.13867 
0.00015, -0.62207, 0.28271, -0.11768 
0.00030, -0.62256, 0.29688, -0.10156 
0.00045, -0.66699, 0.34033, -0.10156 
0.00060, -0.63379, 0.34570, -0.11279 
0.00075, -0.67773, 0.36914, -0.09766 
0.00090, -0.67773, 0.36816, -0.09766 
0.00105, -0.66602, 0.35986, -0.09619 
0.00120, -0.68164, 0.37109, -0.10889 
0.00135, -0.69043, 0.36719, -0.08057 
0.00150, -0.70947, 0.37109, -0.10400 
0.00165, -0.67969, 0.37744, -0.06445 
0.00180, -0.71924, 0.40527, -0.09521 
0.00195, -0.71924, 0.40527, -0.09521 
0.00210, -0.71924, 0.40527, -0.09521 
0.00225, -0.71924, 0.40527, -0.09521 
0.00240, -0.76904, 0.40527, -0.06641 
0.00255, -0.75732, 0.42822, -0.05518 
0.00270, -0.76855, 0.40088, -0.06543 
0.00285, -0.75098, 0.42285, -0.03320 
0.00300, -0.78857, 0.37109, -0.08936 
0.00315, -0.80566, 0.39404, -0.09570 
0.00330, -0.77393, 0.38672, -0.07275 
0.00345, -0.78320, 0.37646, -0.08203 
0.00360, -0.79785, 0.37988, -0.09326 
0.00375, -0.80127, 0.36914, -0.12256 
0.00390, -0.81104, 0.37256, -0.11816 
0.00405, -0.83301, 0.35400, -0.09668 
0.00420, -0.81152, 0.36426, -0.11670 
0.00435, -0.81152, 0.33887, -0.10889 
0.00450, -0.83643, 0.32178, -0.14600 
0.00465, -0.83398, 0.32568, -0.15430 
0.00480, -0.83545, 0.29492, -0.14941 
0.00495, -0.84375, 0.31299, -0.14941 
0.00510, -0.84326, 0.32324, -0.16211 
0.00525, -0.83740, 0.27979, -0.15918 
0.00540, -0.83740, 0.27979, -0.15918 
0.00555, -0.83740, 0.27979, -0.15918 
0.00570, -0.83740, 0.27979, -0.15918 
0.00585, -0.85889, 0.27490, -0.19434 
0.00600, -0.85889, 0.27490, -0.19434 
0.00615, -0.85889, 0.27490, -0.19434 
0.00630, -0.85889, 0.27490, -0.19434 
0.00645, -0.85840, 0.23389, -0.24854 
0.00660, -0.88721, 0.22949, -0.27100 
0.00675, -0.87598, 0.21826, -0.25684 
0.00690, -0.87598, 0.23047, -0.25684 
0.00705, -0.85303, 0.21777, -0.27637 
0.00720, -0.87842, 0.22900, -0.28809 
0.00735, -0.89453, 0.22314, -0.31934 
0.00750, -0.88867, 0.18652, -0.32520 
0.00765, -0.91260, 0.19238, -0.34570 
0.00780, -0.86523, 0.20264, -0.34033 
0.00795, -0.89062, 0.21680, -0.34082 
0.00810, -0.90576, 0.20605, -0.33545 
0.00825, -0.87988, 0.19092, -0.35986 
0.00840, -0.92041, 0.20898, -0.39404 
0.00855, -0.88574, 0.22021, -0.39355 
0.00870, -0.88721, 0.23926, -0.42529 
0.00885, -0.93311, 0.22119, -0.41211 
0.00900, -0.92041, 0.20947, -0.43066 
0.00915, -0.95068, 0.22119, -0.41406 
0.00930, -0.92383, 0.22119, -0.43799 
0.00945, -0.95117, 0.25000, -0.47852 
0.00960, -0.95215, 0.25000, -0.47266 
0.00975, -0.92529, 0.24219, -0.46680 
0.00990, -0.92529, 0.28369, -0.45459 
0.01005, -0.94238, 0.25000, -0.49316 
0.01020, -0.95850, 0.26660, -0.50684 
0.01035, -0.95850, 0.27783, -0.52734 
0.01050, -0.97852, 0.26807, -0.49512 
0.01065, -0.94092, 0.27051, -0.52490 
0.01080, -0.96924, 0.27588, -0.53125 
0.01095, -0.97900, 0.31201, -0.54102 
0.01110, -0.99658, 0.32764, -0.54248 
0.01125, -0.98584, 0.31982, -0.55518 
0.01140, -0.96289, 0.32959, -0.55762 
0.01155, -1.00879, 0.35840, -0.57471 
0.01170, -0.97168, 0.33594, -0.56299 
0.01185, -1.01123, 0.37891, -0.55811 
0.01200, -1.01367, 0.36084, -0.58105 
0.01215, -0.97559, 0.36133, -0.58203 
0.01230, -1.01318, 0.40527, -0.59619 
0.01245, -0.99951, 0.36279, -0.58496 
0.01261, -1.00684, 0.37939, -0.62402 
0.01276, -0.99658, 0.39258, -0.62939 
0.01291, -0.99609, 0.37939, -0.64844 
0.01306, -1.00293, 0.40918, -0.61084 
0.01321, -1.02100, 0.41113, -0.64404 
0.01336, -1.02295, 0.43506, -0.62842 
0.01351, -0.96875, 0.42529, -0.65918 
0.01366, -1.01025, 0.41113, -0.67334 
0.01381, -1.00732, 0.41162, -0.64893 
0.01396, -0.98975, 0.43018, -0.69434 
0.01411, -0.99170, 0.42920, -0.67285 
0.01426, -1.01611, 0.39502, -0.65186 
0.01441, -0.98828, 0.43506, -0.68701 
0.01456, -0.97949, 0.41016, -0.69434 
0.01471, -0.97461, 0.40332, -0.71680 
0.01486, -0.99121, 0.44727, -0.72998 
0.01501, -0.96436, 0.43457, -0.75049 
0.01516, -0.99170, 0.38916, -0.71436 
0.01531, -0.98438, 0.43115, -0.72852 
0.01546, -0.96973, 0.40723, -0.75879 
0.01561, -0.93848, 0.39160, -0.75977 
0.01576, -0.92920, 0.40039, -0.76562 
0.01591, -0.94873, 0.40283, -0.74512 
0.01606, -0.91406, 0.39795, -0.75732 
0.01621, -0.90381, 0.41602, -0.77295 
0.01636, -0.89844, 0.42041, -0.76465 
0.01651, -0.89941, 0.37891, -0.75684 
0.01666, -0.86572, 0.40918, -0.76221 
0.01681, -0.89209, 0.37842, -0.77100 
0.01696, -0.86523, 0.39111, -0.78955 
0.01711, -0.87012, 0.35059, -0.80908 
0.01726, -0.83398, 0.34668, -0.81299 
0.01741, -0.82324, 0.35352, -0.81348 
0.01756, -0.82910, 0.35547, -0.80127 
0.01771, -0.81396, 0.37695, -0.83350 
0.01786, -0.82373, 0.32275, -0.82568 
0.01801, -0.78564, 0.36768, -0.81104 
0.01816, -0.77490, 0.34912, -0.81348 
0.01831, -0.77393, 0.37158, -0.79932 
0.01846, -0.75342, 0.32080, -0.85156 
0.01861, -0.73584, 0.33154, -0.81787 
0.01876, -0.72559, 0.33838, -0.83643 
0.01891, -0.70361, 0.36133, -0.83496 
