
ACCX_Angle -159.19	ACCY_Angle 158.60		GRYX_Angle  3.29	GYRY_Angle  3.29	GYRZ_Angle  3.29		CFangleX_Angle -29.20	CFangleY_Angle 34.35		HEADING  351.95	tiltCompensatedHeading 21.04
ACCX_Angle -179.96	ACCY_Angle -161.89		GRYX_Angle  3.48	GYRY_Angle  3.48	GYRZ_Angle  3.57		CFangleX_Angle -59.20	CFangleY_Angle -4.74		HEADING  351.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.89		GRYX_Angle  3.76	GYRY_Angle  0.85	GYRZ_Angle  0.94		CFangleX_Angle -83.13	CFangleY_Angle -38.28		HEADING  351.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.89		GRYX_Angle  2.99	GYRY_Angle  0.08	GYRZ_Angle  0.17		CFangleX_Angle -103.12	CFangleY_Angle -63.62		HEADING  351.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.89		GRYX_Angle  2.87	GYRY_Angle -0.04	GYRZ_Angle  0.05		CFangleX_Angle -118.58	CFangleY_Angle -83.37		HEADING  351.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.89		GRYX_Angle  2.88	GYRY_Angle -0.02	GYRZ_Angle  0.07		CFangleX_Angle -130.85	CFangleY_Angle -99.06		HEADING  351.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.89		GRYX_Angle  2.90	GYRY_Angle  0.00	GYRZ_Angle  0.09		CFangleX_Angle -140.65	CFangleY_Angle -111.61		HEADING  351.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.89		GRYX_Angle  2.92	GYRY_Angle  0.03	GYRZ_Angle  0.11		CFangleX_Angle -148.50	CFangleY_Angle -121.64		HEADING  351.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.89		GRYX_Angle  2.95	GYRY_Angle  0.05	GYRZ_Angle  0.13		CFangleX_Angle -154.77	CFangleY_Angle -129.68		HEADING  351.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.57		GRYX_Angle  2.98	GYRY_Angle  0.08	GYRZ_Angle  0.16		CFangleX_Angle -159.79	CFangleY_Angle -136.03		HEADING  352.10	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.57		GRYX_Angle  3.01	GYRY_Angle  0.11	GYRZ_Angle  0.19		CFangleX_Angle -163.79	CFangleY_Angle -141.11		HEADING  352.10	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.57		GRYX_Angle  3.03	GYRY_Angle  0.13	GYRZ_Angle  0.22		CFangleX_Angle -167.01	CFangleY_Angle -145.18		HEADING  352.10	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.57		GRYX_Angle  3.05	GYRY_Angle  0.15	GYRZ_Angle  0.24		CFangleX_Angle -169.58	CFangleY_Angle -148.44		HEADING  352.10	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.57		GRYX_Angle  3.08	GYRY_Angle  0.18	GYRZ_Angle  0.26		CFangleX_Angle -171.64	CFangleY_Angle -151.05		HEADING  352.10	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.57		GRYX_Angle  3.10	GYRY_Angle  0.20	GYRZ_Angle  0.28		CFangleX_Angle -173.29	CFangleY_Angle -153.14		HEADING  352.10	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.57		GRYX_Angle  3.12	GYRY_Angle  0.22	GYRZ_Angle  0.30		CFangleX_Angle -174.60	CFangleY_Angle -154.80		HEADING  352.10	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.57		GRYX_Angle  3.15	GYRY_Angle  0.25	GYRZ_Angle  0.33		CFangleX_Angle -175.65	CFangleY_Angle -156.13		HEADING  351.67	tiltCompensatedHeading 266.94
ACCX_Angle -179.96	ACCY_Angle -161.70		GRYX_Angle  3.17	GYRY_Angle  0.28	GYRZ_Angle  0.36		CFangleX_Angle -176.49	CFangleY_Angle -157.23		HEADING  351.67	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.70		GRYX_Angle  3.20	GYRY_Angle  0.30	GYRZ_Angle  0.38		CFangleX_Angle -177.17	CFangleY_Angle -158.10		HEADING  351.67	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.70		GRYX_Angle  3.22	GYRY_Angle  0.32	GYRZ_Angle  0.40		CFangleX_Angle -177.71	CFangleY_Angle -158.81		HEADING  351.67	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.70		GRYX_Angle  3.25	GYRY_Angle  0.35	GYRZ_Angle  0.43		CFangleX_Angle -178.14	CFangleY_Angle -159.36		HEADING  351.67	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.70		GRYX_Angle  3.27	GYRY_Angle  0.38	GYRZ_Angle  0.46		CFangleX_Angle -178.48	CFangleY_Angle -159.81		HEADING  351.67	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.70		GRYX_Angle  3.29	GYRY_Angle  0.40	GYRZ_Angle  0.48		CFangleX_Angle -178.76	CFangleY_Angle -160.17		HEADING  351.67	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.70		GRYX_Angle  3.32	GYRY_Angle  0.42	GYRZ_Angle  0.51		CFangleX_Angle -178.98	CFangleY_Angle -160.46		HEADING  351.67	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.70		GRYX_Angle  3.34	GYRY_Angle  0.44	GYRZ_Angle  0.53		CFangleX_Angle -179.16	CFangleY_Angle -160.69		HEADING  351.67	tiltCompensatedHeading 270.76
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.37	GYRY_Angle  0.47	GYRZ_Angle  0.56		CFangleX_Angle -179.30	CFangleY_Angle -160.98		HEADING  351.62	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.40	GYRY_Angle  0.50	GYRZ_Angle  0.58		CFangleX_Angle -179.41	CFangleY_Angle -161.22		HEADING  351.62	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.26		GRYX_Angle  3.41	GYRY_Angle  0.51	GYRZ_Angle  0.60		CFangleX_Angle -179.51	CFangleY_Angle -161.41		HEADING  351.62	tiltCompensatedHeading 270.00
