
ACCX_Angle -105.28	ACCY_Angle -105.28		GRYX_Angle -2.32	GYRY_Angle -2.32	GYRZ_Angle -2.32		CFangleX_Angle -22.91	CFangleY_Angle -22.91		HEADING  147.77	tiltCompensatedHeading 307.62
ACCX_Angle -176.91	ACCY_Angle 176.09		GRYX_Angle -7.19	GYRY_Angle -7.19	GYRZ_Angle -7.19		CFangleX_Angle -57.61	CFangleY_Angle 12.99		HEADING  140.70	tiltCompensatedHeading 165.66
ACCX_Angle -177.00	ACCY_Angle 176.30		GRYX_Angle -26.01	GYRY_Angle -26.01	GYRZ_Angle -26.01		CFangleX_Angle -96.54	CFangleY_Angle 30.60		HEADING  164.17	tiltCompensatedHeading 172.81
ACCX_Angle -177.31	ACCY_Angle 175.84		GRYX_Angle -44.55	GYRY_Angle -44.55	GYRZ_Angle -44.55		CFangleX_Angle -127.53	CFangleY_Angle 44.81		HEADING  139.82	tiltCompensatedHeading 163.15
ACCX_Angle -176.97	ACCY_Angle 176.70		GRYX_Angle -63.09	GYRY_Angle -63.09	GYRZ_Angle -63.09		CFangleX_Angle -152.25	CFangleY_Angle 56.36		HEADING  139.65	tiltCompensatedHeading 163.70
ACCX_Angle -176.64	ACCY_Angle 176.25		GRYX_Angle -81.63	GYRY_Angle -81.63	GYRZ_Angle -81.63		CFangleX_Angle -171.96	CFangleY_Angle 65.51		HEADING  139.65	tiltCompensatedHeading 165.98
ACCX_Angle -176.90	ACCY_Angle 175.76		GRYX_Angle -100.20	GYRY_Angle -100.20	GYRZ_Angle -100.20		CFangleX_Angle -187.80	CFangleY_Angle 72.70		HEADING  138.69	tiltCompensatedHeading 164.62
ACCX_Angle -177.09	ACCY_Angle 176.29		GRYX_Angle -118.71	GYRY_Angle -118.71	GYRZ_Angle -118.71		CFangleX_Angle -200.47	CFangleY_Angle 78.61		HEADING  138.69	tiltCompensatedHeading 162.99
ACCX_Angle -176.94	ACCY_Angle 176.40		GRYX_Angle -136.75	GYRY_Angle -136.75	GYRZ_Angle -136.75		CFangleX_Angle -210.20	CFangleY_Angle 83.74		HEADING  138.23	tiltCompensatedHeading 163.04
ACCX_Angle -176.50	ACCY_Angle 176.24		GRYX_Angle -154.35	GYRY_Angle -154.35	GYRZ_Angle -154.35		CFangleX_Angle -217.54	CFangleY_Angle 88.15		HEADING  138.23	tiltCompensatedHeading 165.42
ACCX_Angle -176.81	ACCY_Angle 176.20		GRYX_Angle -171.38	GYRY_Angle -170.65	GYRZ_Angle -170.61		CFangleX_Angle -223.02	CFangleY_Angle 92.73		HEADING  138.23	tiltCompensatedHeading 163.85
