
ACCX_Angle -176.49	ACCY_Angle 176.64		GRYX_Angle -0.23	GYRY_Angle -0.23	GYRZ_Angle -0.23		CFangleX_Angle -35.48	CFangleY_Angle 35.14		HEADING  138.01	tiltCompensatedHeading 164.48
ACCX_Angle -177.39	ACCY_Angle 174.82		GRYX_Angle -0.46	GYRY_Angle -0.46	GYRZ_Angle -0.46		CFangleX_Angle -64.05	CFangleY_Angle 62.90		HEADING  142.39	tiltCompensatedHeading 166.17
ACCX_Angle -176.36	ACCY_Angle 177.60		GRYX_Angle -0.68	GYRY_Angle -0.68	GYRZ_Angle -0.68		CFangleX_Angle -86.68	CFangleY_Angle 85.66		HEADING  142.39	tiltCompensatedHeading 168.26
ACCX_Angle -177.25	ACCY_Angle 176.34		GRYX_Angle -0.90	GYRY_Angle -0.93	GYRZ_Angle -0.93		CFangleX_Angle -104.98	CFangleY_Angle 103.60		HEADING  143.06	tiltCompensatedHeading 165.30
ACCX_Angle -175.36	ACCY_Angle 177.13		GRYX_Angle -1.13	GYRY_Angle -1.15	GYRZ_Angle -1.15		CFangleX_Angle -119.24	CFangleY_Angle 118.12		HEADING  140.71	tiltCompensatedHeading 173.18
ACCX_Angle -176.46	ACCY_Angle 174.16		GRYX_Angle -1.35	GYRY_Angle -1.37	GYRZ_Angle -1.37		CFangleX_Angle -130.85	CFangleY_Angle 129.16		HEADING  139.18	tiltCompensatedHeading 168.20
ACCX_Angle -177.15	ACCY_Angle 175.71		GRYX_Angle -1.57	GYRY_Angle -1.59	GYRZ_Angle -1.59		CFangleX_Angle -140.29	CFangleY_Angle 138.29		HEADING  139.18	tiltCompensatedHeading 163.58
ACCX_Angle -176.63	ACCY_Angle 176.91		GRYX_Angle -1.80	GYRY_Angle -1.82	GYRZ_Angle -1.82		CFangleX_Angle -147.74	CFangleY_Angle 145.83		HEADING  141.23	tiltCompensatedHeading 166.68
ACCX_Angle -176.09	ACCY_Angle 176.44		GRYX_Angle -2.04	GYRY_Angle -2.06	GYRZ_Angle -2.06		CFangleX_Angle -153.61	CFangleY_Angle 151.76		HEADING  140.81	tiltCompensatedHeading 169.90
ACCX_Angle -176.52	ACCY_Angle 176.08		GRYX_Angle -2.29	GYRY_Angle -2.32	GYRZ_Angle -2.32		CFangleX_Angle -158.39	CFangleY_Angle 156.42		HEADING  139.33	tiltCompensatedHeading 166.90
ACCX_Angle -175.77	ACCY_Angle 175.34		GRYX_Angle -2.54	GYRY_Angle -2.56	GYRZ_Angle -2.56		CFangleX_Angle -162.06	CFangleY_Angle 160.01		HEADING  139.33	tiltCompensatedHeading 171.22
ACCX_Angle -177.19	ACCY_Angle 175.02		GRYX_Angle -2.77	GYRY_Angle -2.79	GYRZ_Angle -2.76		CFangleX_Angle -165.27	CFangleY_Angle 162.83		HEADING  139.55	tiltCompensatedHeading 165.01
ACCX_Angle -176.55	ACCY_Angle 176.27		GRYX_Angle -2.97	GYRY_Angle -2.99	GYRZ_Angle -2.96		CFangleX_Angle -167.69	CFangleY_Angle 165.36		HEADING  137.55	tiltCompensatedHeading 164.57
ACCX_Angle -175.94	ACCY_Angle 176.93		GRYX_Angle -3.21	GYRY_Angle -3.23	GYRZ_Angle -3.20		CFangleX_Angle -169.53	CFangleY_Angle 167.48		HEADING  137.55	tiltCompensatedHeading 166.89
ACCX_Angle -175.44	ACCY_Angle 177.97		GRYX_Angle -3.42	GYRY_Angle -3.45	GYRZ_Angle -3.42		CFangleX_Angle -170.88	CFangleY_Angle 169.40		HEADING  138.65	tiltCompensatedHeading 170.84
ACCX_Angle -176.83	ACCY_Angle 177.70		GRYX_Angle -3.67	GYRY_Angle -3.69	GYRZ_Angle -3.66		CFangleX_Angle -172.27	CFangleY_Angle 170.87		HEADING  136.44	tiltCompensatedHeading 160.55
ACCX_Angle -175.92	ACCY_Angle 178.00		GRYX_Angle -3.91	GYRY_Angle -3.92	GYRZ_Angle -3.89		CFangleX_Angle -173.19	CFangleY_Angle 172.11		HEADING  136.44	tiltCompensatedHeading 165.46
ACCX_Angle -177.16	ACCY_Angle 175.61		GRYX_Angle -4.14	GYRY_Angle -4.17	GYRZ_Angle -4.15		CFangleX_Angle -174.17	CFangleY_Angle 172.61		HEADING  137.75	tiltCompensatedHeading 162.13
ACCX_Angle -177.23	ACCY_Angle 176.96		GRYX_Angle -4.38	GYRY_Angle -4.41	GYRZ_Angle -4.38		CFangleX_Angle -174.97	CFangleY_Angle 173.29		HEADING  136.89	tiltCompensatedHeading 160.00
ACCX_Angle -176.58	ACCY_Angle 176.09		GRYX_Angle -4.60	GYRY_Angle -4.63	GYRZ_Angle -4.61		CFangleX_Angle -175.47	CFangleY_Angle 173.67		HEADING  136.89	tiltCompensatedHeading 164.61
ACCX_Angle -176.46	ACCY_Angle 177.20		GRYX_Angle -4.83	GYRY_Angle -4.86	GYRZ_Angle -4.84		CFangleX_Angle -175.85	CFangleY_Angle 174.19		HEADING  137.10	tiltCompensatedHeading 163.75
ACCX_Angle -176.45	ACCY_Angle 176.25		GRYX_Angle -5.05	GYRY_Angle -5.08	GYRZ_Angle -5.05		CFangleX_Angle -176.15	CFangleY_Angle 174.43		HEADING  137.10	tiltCompensatedHeading 165.14
ACCX_Angle -176.80	ACCY_Angle 174.93		GRYX_Angle -5.28	GYRY_Angle -5.31	GYRZ_Angle -5.29		CFangleX_Angle -176.46	CFangleY_Angle 174.34		HEADING  136.65	tiltCompensatedHeading 164.32
ACCX_Angle -176.62	ACCY_Angle 176.16		GRYX_Angle -5.51	GYRY_Angle -5.54	GYRZ_Angle -5.52		CFangleX_Angle -176.68	CFangleY_Angle 174.52		HEADING  136.65	tiltCompensatedHeading 163.59
ACCX_Angle -175.86	ACCY_Angle 176.08		GRYX_Angle -5.72	GYRY_Angle -5.75	GYRZ_Angle -5.73		CFangleX_Angle -176.68	CFangleY_Angle 174.67		HEADING  134.30	tiltCompensatedHeading 165.84
ACCX_Angle -176.23	ACCY_Angle 176.07		GRYX_Angle -5.93	GYRY_Angle -6.00	GYRZ_Angle -5.98		CFangleX_Angle -176.76	CFangleY_Angle 174.75		HEADING  134.53	tiltCompensatedHeading 164.26
ACCX_Angle -176.00	ACCY_Angle 174.45		GRYX_Angle -6.17	GYRY_Angle -6.25	GYRZ_Angle -6.22		CFangleX_Angle -176.80	CFangleY_Angle 174.49		HEADING  138.81	tiltCompensatedHeading 170.12
ACCX_Angle -175.58	ACCY_Angle 176.17		GRYX_Angle -6.41	GYRY_Angle -6.49	GYRZ_Angle -6.46		CFangleX_Angle -176.75	CFangleY_Angle 174.64		HEADING  137.33	tiltCompensatedHeading 168.99
ACCX_Angle -177.35	ACCY_Angle 175.10		GRYX_Angle -6.66	GYRY_Angle -6.73	GYRZ_Angle -6.71		CFangleX_Angle -177.06	CFangleY_Angle 174.53		HEADING  136.19	tiltCompensatedHeading 161.59
ACCX_Angle -176.92	ACCY_Angle 176.46		GRYX_Angle -6.90	GYRY_Angle -6.97	GYRZ_Angle -6.95		CFangleX_Angle -177.23	CFangleY_Angle 174.72		HEADING  132.86	tiltCompensatedHeading 159.03
ACCX_Angle -177.28	ACCY_Angle 177.14		GRYX_Angle -7.16	GYRY_Angle -7.22	GYRZ_Angle -7.20		CFangleX_Angle -177.45	CFangleY_Angle 175.01		HEADING  132.57	tiltCompensatedHeading 156.04
ACCX_Angle -177.19	ACCY_Angle 174.47		GRYX_Angle -7.41	GYRY_Angle -7.47	GYRZ_Angle -7.45		CFangleX_Angle -177.60	CFangleY_Angle 174.70		HEADING  132.84	tiltCompensatedHeading 161.42
ACCX_Angle -177.22	ACCY_Angle 175.00		GRYX_Angle -7.66	GYRY_Angle -7.72	GYRZ_Angle -7.70		CFangleX_Angle -177.72	CFangleY_Angle 174.56		HEADING  132.84	tiltCompensatedHeading 160.52
ACCX_Angle -177.24	ACCY_Angle 174.23		GRYX_Angle -7.91	GYRY_Angle -7.98	GYRZ_Angle -7.95		CFangleX_Angle -177.83	CFangleY_Angle 174.29		HEADING  133.79	tiltCompensatedHeading 161.99
ACCX_Angle -176.96	ACCY_Angle 174.92		GRYX_Angle -8.16	GYRY_Angle -8.22	GYRZ_Angle -8.19		CFangleX_Angle -177.85	CFangleY_Angle 174.22		HEADING  133.79	tiltCompensatedHeading 162.23
ACCX_Angle -176.75	ACCY_Angle 175.41		GRYX_Angle -8.40	GYRY_Angle -8.46	GYRZ_Angle -8.41		CFangleX_Angle -177.83	CFangleY_Angle 174.27		HEADING  132.84	tiltCompensatedHeading 161.77
ACCX_Angle -176.13	ACCY_Angle 177.37		GRYX_Angle -8.62	GYRY_Angle -8.68	GYRZ_Angle -8.65		CFangleX_Angle -177.66	CFangleY_Angle 174.71		HEADING  132.84	tiltCompensatedHeading 161.89
ACCX_Angle -176.48	ACCY_Angle 177.29		GRYX_Angle -8.84	GYRY_Angle -8.90	GYRZ_Angle -8.87		CFangleX_Angle -177.60	CFangleY_Angle 175.05		HEADING  133.57	tiltCompensatedHeading 160.59
ACCX_Angle -176.44	ACCY_Angle 177.67		GRYX_Angle -9.07	GYRY_Angle -9.13	GYRZ_Angle -9.10		CFangleX_Angle -177.55	CFangleY_Angle 175.39		HEADING  133.57	tiltCompensatedHeading 160.04
ACCX_Angle -176.28	ACCY_Angle 175.97		GRYX_Angle -9.31	GYRY_Angle -9.37	GYRZ_Angle -9.34		CFangleX_Angle -177.49	CFangleY_Angle 175.31		HEADING  135.24	tiltCompensatedHeading 164.62
ACCX_Angle -176.84	ACCY_Angle 175.02		GRYX_Angle -9.56	GYRY_Angle -9.60	GYRZ_Angle -9.57		CFangleX_Angle -177.56	CFangleY_Angle 175.08		HEADING  135.48	tiltCompensatedHeading 163.73
ACCX_Angle -176.28	ACCY_Angle 178.61		GRYX_Angle -9.79	GYRY_Angle -9.82	GYRZ_Angle -9.83		CFangleX_Angle -177.49	CFangleY_Angle 175.60		HEADING  135.48	tiltCompensatedHeading 160.85
ACCX_Angle -176.37	ACCY_Angle 176.84		GRYX_Angle -10.05	GYRY_Angle -10.08	GYRZ_Angle -10.07		CFangleX_Angle -177.47	CFangleY_Angle 175.64		HEADING  136.43	tiltCompensatedHeading 164.12
ACCX_Angle -176.61	ACCY_Angle 175.50		GRYX_Angle -10.29	GYRY_Angle -10.33	GYRZ_Angle -10.31		CFangleX_Angle -177.50	CFangleY_Angle 175.42		HEADING  136.43	tiltCompensatedHeading 164.70
ACCX_Angle -176.58	ACCY_Angle 176.54		GRYX_Angle -10.50	GYRY_Angle -10.54	GYRZ_Angle -10.53		CFangleX_Angle -177.48	CFangleY_Angle 175.47		HEADING  134.26	tiltCompensatedHeading 162.73
ACCX_Angle -176.19	ACCY_Angle 177.00		GRYX_Angle -10.73	GYRY_Angle -10.76	GYRZ_Angle -10.75		CFangleX_Angle -177.40	CFangleY_Angle 175.60		HEADING  134.26	tiltCompensatedHeading 164.20
ACCX_Angle -177.17	ACCY_Angle 175.74		GRYX_Angle -10.99	GYRY_Angle -11.02	GYRZ_Angle -11.01		CFangleX_Angle -177.57	CFangleY_Angle 175.42		HEADING  135.48	tiltCompensatedHeading 161.39
ACCX_Angle -176.24	ACCY_Angle 177.08		GRYX_Angle -11.21	GYRY_Angle -11.24	GYRZ_Angle -11.23		CFangleX_Angle -177.48	CFangleY_Angle 175.58		HEADING  135.48	tiltCompensatedHeading 164.10
ACCX_Angle -177.42	ACCY_Angle 175.13		GRYX_Angle -11.41	GYRY_Angle -11.44	GYRZ_Angle -11.43		CFangleX_Angle -177.62	CFangleY_Angle 175.32		HEADING  138.11	tiltCompensatedHeading 162.65
ACCX_Angle -176.19	ACCY_Angle 176.52		GRYX_Angle -11.62	GYRY_Angle -11.65	GYRZ_Angle -11.64		CFangleX_Angle -177.50	CFangleY_Angle 175.40		HEADING  138.11	tiltCompensatedHeading 166.78
ACCX_Angle -176.46	ACCY_Angle 175.92		GRYX_Angle -11.85	GYRY_Angle -11.88	GYRZ_Angle -11.87		CFangleX_Angle -177.48	CFangleY_Angle 175.31		HEADING  136.86	tiltCompensatedHeading 164.73
ACCX_Angle -175.69	ACCY_Angle 176.74		GRYX_Angle -12.06	GYRY_Angle -12.10	GYRZ_Angle -12.07		CFangleX_Angle -177.29	CFangleY_Angle 175.43		HEADING  137.39	tiltCompensatedHeading 168.93
ACCX_Angle -176.07	ACCY_Angle 176.32		GRYX_Angle -12.26	GYRY_Angle -12.29	GYRZ_Angle -12.27		CFangleX_Angle -177.20	CFangleY_Angle 175.45		HEADING  136.89	tiltCompensatedHeading 166.79
ACCX_Angle -176.05	ACCY_Angle 178.00		GRYX_Angle -12.52	GYRY_Angle -12.55	GYRZ_Angle -12.53		CFangleX_Angle -177.18	CFangleY_Angle 175.75		HEADING  137.35	tiltCompensatedHeading 164.83
ACCX_Angle -176.31	ACCY_Angle 176.16		GRYX_Angle -12.76	GYRY_Angle -12.80	GYRZ_Angle -12.77		CFangleX_Angle -177.20	CFangleY_Angle 175.64		HEADING  136.65	tiltCompensatedHeading 165.72
ACCX_Angle -176.52	ACCY_Angle 176.68		GRYX_Angle -13.01	GYRY_Angle -13.04	GYRZ_Angle -13.02		CFangleX_Angle -177.26	CFangleY_Angle 175.65		HEADING  136.65	tiltCompensatedHeading 163.92
ACCX_Angle -176.12	ACCY_Angle 176.74		GRYX_Angle -13.25	GYRY_Angle -13.27	GYRZ_Angle -13.24		CFangleX_Angle -177.23	CFangleY_Angle 175.69		HEADING  139.94	tiltCompensatedHeading 167.99
ACCX_Angle -177.17	ACCY_Angle 176.29		GRYX_Angle -13.48	GYRY_Angle -13.49	GYRZ_Angle -13.47		CFangleX_Angle -177.40	CFangleY_Angle 175.63		HEADING  139.94	tiltCompensatedHeading 163.27
ACCX_Angle -176.44	ACCY_Angle 176.17		GRYX_Angle -13.70	GYRY_Angle -13.72	GYRZ_Angle -13.72		CFangleX_Angle -177.39	CFangleY_Angle 175.55		HEADING  139.22	tiltCompensatedHeading 166.52
ACCX_Angle -176.05	ACCY_Angle 177.98		GRYX_Angle -13.96	GYRY_Angle -13.97	GYRZ_Angle -13.94		CFangleX_Angle -177.32	CFangleY_Angle 175.84		HEADING  139.22	tiltCompensatedHeading 166.40
ACCX_Angle -176.63	ACCY_Angle 175.56		GRYX_Angle -14.17	GYRY_Angle -14.19	GYRZ_Angle -14.17		CFangleX_Angle -177.36	CFangleY_Angle 175.61		HEADING  139.93	tiltCompensatedHeading 167.92
ACCX_Angle -176.61	ACCY_Angle 173.87		GRYX_Angle -14.40	GYRY_Angle -14.42	GYRZ_Angle -14.40		CFangleX_Angle -177.39	CFangleY_Angle 175.08		HEADING  139.66	tiltCompensatedHeading 169.09
ACCX_Angle -177.31	ACCY_Angle 177.21		GRYX_Angle -14.65	GYRY_Angle -14.67	GYRZ_Angle -14.64		CFangleX_Angle -177.57	CFangleY_Angle 175.30		HEADING  140.87	tiltCompensatedHeading 162.08
ACCX_Angle -175.41	ACCY_Angle 176.07		GRYX_Angle -14.87	GYRY_Angle -14.88	GYRZ_Angle -14.86		CFangleX_Angle -177.31	CFangleY_Angle 175.29		HEADING  140.87	tiltCompensatedHeading 172.97
ACCX_Angle -176.63	ACCY_Angle 175.54		GRYX_Angle -15.10	GYRY_Angle -15.11	GYRZ_Angle -15.09		CFangleX_Angle -177.36	CFangleY_Angle 175.15		HEADING  140.57	tiltCompensatedHeading 167.23
ACCX_Angle -177.04	ACCY_Angle 176.39		GRYX_Angle -15.34	GYRY_Angle -15.36	GYRZ_Angle -15.33		CFangleX_Angle -177.49	CFangleY_Angle 175.20		HEADING  140.83	tiltCompensatedHeading 164.37
ACCX_Angle -175.98	ACCY_Angle 178.17		GRYX_Angle -15.60	GYRY_Angle -15.62	GYRZ_Angle -15.60		CFangleX_Angle -177.40	CFangleY_Angle 175.59		HEADING  140.83	tiltCompensatedHeading 167.77
ACCX_Angle -176.89	ACCY_Angle 175.15		GRYX_Angle -15.87	GYRY_Angle -15.88	GYRZ_Angle -15.86		CFangleX_Angle -177.51	CFangleY_Angle 175.29		HEADING  141.77	tiltCompensatedHeading 167.84
ACCX_Angle -177.02	ACCY_Angle 176.86		GRYX_Angle -16.11	GYRY_Angle -16.13	GYRZ_Angle -16.10		CFangleX_Angle -177.61	CFangleY_Angle 175.41		HEADING  141.77	tiltCompensatedHeading 165.33
ACCX_Angle -176.38	ACCY_Angle 176.53		GRYX_Angle -16.32	GYRY_Angle -16.34	GYRZ_Angle -16.32		CFangleX_Angle -177.53	CFangleY_Angle 175.46		HEADING  139.22	tiltCompensatedHeading 166.80
ACCX_Angle -175.78	ACCY_Angle 178.06		GRYX_Angle -16.52	GYRY_Angle -16.54	GYRZ_Angle -16.51		CFangleX_Angle -177.34	CFangleY_Angle 175.82		HEADING  139.22	tiltCompensatedHeading 168.33
ACCX_Angle -176.56	ACCY_Angle 175.84		GRYX_Angle -16.74	GYRY_Angle -16.76	GYRZ_Angle -16.73		CFangleX_Angle -177.36	CFangleY_Angle 175.65		HEADING  139.86	tiltCompensatedHeading 166.62
ACCX_Angle -177.49	ACCY_Angle 174.20		GRYX_Angle -16.98	GYRY_Angle -16.99	GYRZ_Angle -16.97		CFangleX_Angle -177.57	CFangleY_Angle 175.17		HEADING  139.86	tiltCompensatedHeading 164.34
ACCX_Angle -176.70	ACCY_Angle 176.49		GRYX_Angle -17.20	GYRY_Angle -17.22	GYRZ_Angle -17.19		CFangleX_Angle -177.58	CFangleY_Angle 175.26		HEADING  140.50	tiltCompensatedHeading 166.36
ACCX_Angle -177.09	ACCY_Angle 175.40		GRYX_Angle -17.45	GYRY_Angle -17.47	GYRZ_Angle -17.44		CFangleX_Angle -177.68	CFangleY_Angle 175.09		HEADING  140.50	tiltCompensatedHeading 165.71
ACCX_Angle -176.31	ACCY_Angle 176.55		GRYX_Angle -17.71	GYRY_Angle -17.72	GYRZ_Angle -17.70		CFangleX_Angle -177.61	CFangleY_Angle 175.18		HEADING  139.80	tiltCompensatedHeading 167.96
ACCX_Angle -176.17	ACCY_Angle 175.70		GRYX_Angle -17.97	GYRY_Angle -17.99	GYRZ_Angle -17.96		CFangleX_Angle -177.53	CFangleY_Angle 175.07		HEADING  139.80	tiltCompensatedHeading 169.49
ACCX_Angle -176.91	ACCY_Angle 176.67		GRYX_Angle -18.21	GYRY_Angle -18.23	GYRZ_Angle -18.20		CFangleX_Angle -177.60	CFangleY_Angle 175.20		HEADING  139.90	tiltCompensatedHeading 163.97
ACCX_Angle -176.78	ACCY_Angle 175.09		GRYX_Angle -18.45	GYRY_Angle -18.47	GYRZ_Angle -18.45		CFangleX_Angle -177.63	CFangleY_Angle 174.98		HEADING  139.90	tiltCompensatedHeading 166.42
ACCX_Angle -176.58	ACCY_Angle 174.98		GRYX_Angle -18.70	GYRY_Angle -18.71	GYRZ_Angle -18.68		CFangleX_Angle -177.62	CFangleY_Angle 174.79		HEADING  137.59	tiltCompensatedHeading 166.32
ACCX_Angle -175.94	ACCY_Angle 178.13		GRYX_Angle -18.93	GYRY_Angle -18.94	GYRZ_Angle -18.91		CFangleX_Angle -177.47	CFangleY_Angle 175.27		HEADING  137.59	tiltCompensatedHeading 165.75
ACCX_Angle -176.16	ACCY_Angle 176.40		GRYX_Angle -19.16	GYRY_Angle -19.17	GYRZ_Angle -19.14		CFangleX_Angle -177.39	CFangleY_Angle 175.31		HEADING  137.37	tiltCompensatedHeading 166.18
ACCX_Angle -176.10	ACCY_Angle 176.33		GRYX_Angle -19.41	GYRY_Angle -19.42	GYRZ_Angle -19.39		CFangleX_Angle -177.34	CFangleY_Angle 175.31		HEADING  137.37	tiltCompensatedHeading 166.56
ACCX_Angle -176.63	ACCY_Angle 175.52		GRYX_Angle -19.61	GYRY_Angle -19.63	GYRZ_Angle -19.59		CFangleX_Angle -177.36	CFangleY_Angle 175.19		HEADING  136.18	tiltCompensatedHeading 164.31
ACCX_Angle -176.67	ACCY_Angle 176.07		GRYX_Angle -19.83	GYRY_Angle -19.84	GYRZ_Angle -19.81		CFangleX_Angle -177.39	CFangleY_Angle 175.20		HEADING  136.18	tiltCompensatedHeading 163.39
ACCX_Angle -176.48	ACCY_Angle 176.20		GRYX_Angle -20.05	GYRY_Angle -20.06	GYRZ_Angle -20.03		CFangleX_Angle -177.39	CFangleY_Angle 175.22		HEADING  138.06	tiltCompensatedHeading 165.66
ACCX_Angle -177.16	ACCY_Angle 175.77		GRYX_Angle -20.26	GYRY_Angle -20.27	GYRZ_Angle -20.24		CFangleX_Angle -177.51	CFangleY_Angle 175.16		HEADING  138.06	tiltCompensatedHeading 162.93
ACCX_Angle -176.53	ACCY_Angle 176.49		GRYX_Angle -20.50	GYRY_Angle -20.51	GYRZ_Angle -20.47		CFangleX_Angle -177.50	CFangleY_Angle 175.24		HEADING  137.59	tiltCompensatedHeading 164.59
ACCX_Angle -175.82	ACCY_Angle 177.24		GRYX_Angle -20.73	GYRY_Angle -20.74	GYRZ_Angle -20.72		CFangleX_Angle -177.35	CFangleY_Angle 175.45		HEADING  137.59	tiltCompensatedHeading 167.48
ACCX_Angle -175.61	ACCY_Angle 177.32		GRYX_Angle -20.98	GYRY_Angle -20.99	GYRZ_Angle -20.97		CFangleX_Angle -177.20	CFangleY_Angle 175.63		HEADING  137.14	tiltCompensatedHeading 168.71
