secs,time, cad, hr, km, kph, watts, alt, lon, lat, slope, temp, lrbalance
520,0,0,107,0.16326,0,0,94.8,144.413,-37.8874,0,21,15
521,1,0,109,0.16375,1.764,0,94.8,144.413,-37.8874,0,21,15
522,2,0,111,0.16576,4.8312,0,94.8,144.413,-37.8873,0,21,15
523,3,7,114,0.16889,8.3088,209,94.8,144.413,-37.8873,0,21,15
524,4,30,117,0.17317,12.1284,186,94.8,144.413,-37.8873,0,21,41
525,5,36,122,0.17806,15.0624,287,94.8,144.413,-37.8872,0,21,45
526,6,42,124,0.18339,17.2656,287,94.8,144.413,-37.8872,0,21,45
527,7,43,127,0.18894,18.3708,260,94.8,144.413,-37.8871,0,22,46
528,8,47,129,0.19475,19.1052,229,94.8,144.413,-37.8871,0,22,47
529,9,48,133,0.20074,19.998,225,94.8,144.413,-37.887,0,22,48
530,10,52,135,0.20681,21.366,205,95.2,144.413,-37.887,0.658979,22,51
531,11,54,138,0.21323,22.5936,206,95.6,144.413,-37.8869,1.28203,22,50
532,12,55,141,0.21972,22.986,203,96,144.413,-37.8869,1.89836,22,49
533,13,57,142,0.226,23.0256,190,96.4,144.413,-37.8868,2.53531,22,49
534,14,58,144,0.23321,24.1452,186,96.8,144.413,-37.8867,3.09009,22,49
535,15,60,145,0.23978,24.2028,212,96.8,144.413,-37.8867,3.09009,22,47
536,16,61,146,0.24676,24.3288,201,96.8,144.413,-37.8866,3.09009,22,48
537,17,63,146,0.25437,25.7256,176,96.8,144.413,-37.8866,3.09009,22,46
538,18,64,146,0.26231,26.4384,173,96.8,144.413,-37.8865,3.09009,22,44
539,19,65,146,0.27001,26.4132,151,96.8,144.413,-37.8864,3.09009,22,43
540,20,67,146,0.27813,27.3528,144,96.8,144.413,-37.8863,2.43111,22,43
541,21,67,147,0.2856,26.3268,158,96.8,144.413,-37.8863,1.80806,22,44
542,22,68,147,0.2933,26.7696,160,96.8,144.413,-37.8862,1.19173,22,47
543,23,69,148,0.30124,28.0476,136,96.8,144.413,-37.8861,0.554785,22,47
544,24,69,149,0.30994,29.3148,143,96.8,144.413,-37.8861,-1.78E-16,22,47
545,25,70,150,0.31823,28.7532,148,96.8,144.413,-37.886,-1.78E-16,22,48
546,26,70,150,0.32658,28.854,198,96.8,144.413,-37.8859,-1.78E-16,22,51
547,27,71,151,0.33551,30.168,222,96.8,144.413,-37.8858,-1.78E-16,22,47
548,28,73,151,0.34437,30.2508,212,96.8,144.413,-37.8858,-1.78E-16,22,46
549,29,74,152,0.35292,30.1788,190,96.8,144.413,-37.8857,-1.78E-16,22,47
550,30,74,152,0.36246,31.2876,158,96.8,144.413,-37.8856,-1.78E-16,22,44
551,31,76,153,0.37134,30.654,144,96.8,144.413,-37.8855,-1.78E-16,22,47
552,32,74,153,0.38045,31.2768,158,96.8,144.413,-37.8854,-1.78E-16,22,46
553,33,69,153,0.38908,30.87,137,96.8,144.413,-37.8854,-1.78E-16,22,48
554,34,64,153,0.39804,31.3488,110,96.8,144.413,-37.8853,-1.78E-16,22,50
555,35,62,154,0.40743,32.1336,111,96.8,144.413,-37.8852,-1.78E-16,22,50
556,36,62,154,0.41667,32.0472,104,96.8,144.413,-37.8851,-1.78E-16,22,51
557,37,62,155,0.42655,32.184,126,96.8,144.414,-37.885,-1.78E-16,22,47
558,38,62,155,0.43591,32.2956,149,96.8,144.414,-37.8849,-1.78E-16,22,46
559,39,62,155,0.44519,32.3172,134,96.8,144.414,-37.8849,-1.78E-16,22,47
560,40,62,156,0.45422,32.9544,143,96.8,144.414,-37.8848,-1.78E-16,22,45
561,41,63,156,0.46332,33.0984,182,96.8,144.414,-37.8847,-1.78E-16,22,48
562,42,63,156,0.47306,33.4764,210,96.8,144.414,-37.8846,-1.78E-16,22,48
563,43,64,157,0.48213,33.4584,217,96.8,144.414,-37.8845,-1.78E-16,22,49
564,44,64,157,0.49101,33.3612,168,96.8,144.414,-37.8845,-1.78E-16,22,45
565,45,65,158,0.49999,32.9472,158,96.8,144.414,-37.8844,-1.78E-16,22,46
566,46,65,158,0.50874,32.8428,158,96.8,144.414,-37.8843,-1.78E-16,22,45
567,47,66,159,0.51854,33.84,165,96.8,144.414,-37.8842,-1.78E-16,22,44
568,48,67,159,0.52743,33.84,164,96.8,144.414,-37.8841,-1.78E-16,22,46
