secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,0,5e-05,1.6164,0,0,200.2,144.569,-36.7829,0,0,28,0,-255,0,0,0,0,0,0,0,0
2,0,0,5e-05,1.0776,0,0,200.2,0,0,0,0,28,0,-255,0,0,0,0,0,0,0,0
3,0,0,5e-05,0.5388,0,0,200.2,0,0,0,0,28,0,-255,0,0,0,0,0,0,0,0
4,0,0,5e-05,0,0,0,200.2,0,0,0,0,28,0,-255,0,0,0,0,0,0,0,0
5,0,0,5e-05,0,0,0,200.2,0,0,0,0,28,0,-255,0,0,0,0,0,0,0,0
6,0,0,5e-05,0,0,0,200.2,144.569,-36.7829,0,0,28,0,-255,0,0,0,0,0,0,0,0
7,0,0,0.00084,0,0,0,200.2,144.569,-36.7829,0,0,28,0,-255,0,0,0,0,0,0,0,0
8,0,0,0.00103,0,0,0,200.4,144.569,-36.7829,0,0,28,0,-255,0,0,0,0,0,0,0,0
9,0,0,0.00126,0,0,0,200.4,144.569,-36.7829,0,0,28,0,-255,0,0,0,0,0,0,0,0
10,0,0,0.00152,0,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
11,0,0,0.00181,0,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
12,0,0,0.00181,0,0,0,200.4,0,0,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
13,0,0,0.00181,0,0,0,200.4,0,0,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
14,0,0,0.00513,0,0,0,200.4,144.568,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
15,0,0,0.00572,0,0,0,200.4,144.568,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
16,0,0,0.00618,0,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
17,0,0,0.00683,0,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
18,0,0,0.00783,0,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
19,0,0,0.00826,1.638,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
20,0,0,0.00905,1.6452,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
21,0,0,0.00957,1.6344,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
22,0,0,0.01056,1.6344,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
23,0,0,0.01106,1.6308,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
24,0,0,0.0116,1.6236,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
25,0,0,0.01181,0,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
26,0,0,0.01255,0,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
27,0,0,0.01343,0,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
28,0,0,0.01408,0,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
29,0,0,0.0146,0,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
30,0,0,0.01509,0,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
31,0,0,0.01558,0,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
32,0,0,0.01607,0,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
33,0,0,0.01656,0,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
34,0,0,0.01705,0,0,0,200.4,144.568,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
76,0,0,0.0233,1.9548,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
77,0,0,0.02414,1.9116,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
78,0,0,0.02515,1.9116,0,0,200.4,144.569,-36.7828,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
79,0,0,0.0265,1.9332,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
80,0,0,0.02741,1.9368,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
81,0,0,0.02853,1.962,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
82,0,0,0.0293,1.9548,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
83,0,0,0.03014,1.9116,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
84,0,0,0.03105,1.854,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
85,0,0,0.03244,1.818,0,0,200.4,144.569,-36.7829,0,1.77636e-16,28,0,-255,0,0,0,0,0,0,0,0
